Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
1.178,0.04,0.0,0.5798401685416145,0.5234943310355588,0.664618666248197,0.18644850898311904,0.5079588571053807,0.1992299896752157
1.199,0.1,0.0,0.5803776341171796,0.5224652979978848,0.6588375036868693,0.18963203866438824,0.5018327319745367,0.2078116403607699
1.218,0.15,0.0,0.5808894261534843,0.5214328201593678,0.653065374417612,0.19277816310425985,0.49569234260139133,0.21632940721303054
1.238,0.21,0.0,0.5813747147294263,0.5203976661236762,0.6473044627430994,0.19588608059270818,0.48954031039935325,0.2247800073597543
1.259,0.26,0.0,0.5818326734215884,0.5193606151376028,0.6415569472387971,0.1989550307456958,0.48337928386394374,0.23316022457112257
1.28,1.05,0.0,0.582262479807794,0.5183224563361547,0.6358249991600319,0.20198429485315253,0.47721193684402596,0.24146691229916725
1.301,1.11,0.0,0.5826633159666348,0.5172839879821862,0.630110780857956,0.2049731961633778,0.4710409667877145,0.24969699660709457
1.362,1.16,0.0,0.5830343689725607,0.5162460167034316,0.6244164442042828,0.20792110010592996,0.46486909296376683,0.2578474789845881
1.425,1.22,0.0,0.5833748313861277,0.5152093567298411,0.6187441290245709,0.21082741445526115,0.4586990546591811,0.2659154390454465
1.571,1.27,0.0,0.5836839017390034,0.5141748291341791,0.6130959615397382,0.21369158943754465,0.45253360935365233,0.27389803710417604
1.592,1.33,-0.06,0.5839607850133378,0.5131432610788783,0.6074740528154046,0.21651311778331558,0.4463755308714674,0.28179251662841337
1.613,1.38,-0.15,0.5842046931151279,0.5121154850720971,0.6018804972186331,0.21929153472861299,0.4402276075113274,0.28959620656431917
1.654,1.44,-0.07,0.5844148453412804,0.5110923382356376,0.5963173708817354,0.22202641796710565,0.4340926401543777,0.2973065235324028
1.696,1.49,-0.04,0.5845904688401432,0.5100746615868342,0.5907867301730259,0.22471738755514464,0.4279734403503472,0.3049209738916982
1.757,1.55,-0.08,0.5847307990652854,0.5090632993359673,0.5852906101746109,0.22736410577109967,0.42187282838120244,0.31243715567080643
1.88,1.6,-0.1,0.5848350802221602,0.5080590982004716,0.5798310231673232,0.22996627693005742,0.41579363130134844,0.3198527603648756
1.941,1.66,0.02,0.584902565707099,0.507062906737121,0.5744099571228456,0.23252364715493204,0.4097386809532811,0.32716557459797646
1.961,1.71,-0.02,0.5849325185379581,0.5060755746932103,0.5690293742030312,0.23503600410498532,0.4037108119576123,0.33437348165059133
1.983,1.77,-0.09,0.5849242117757572,0.5050979523775174,0.5636912092664664,0.23750317666262713,0.39771285967644765,0.3414744628522052
2.023,1.82,0.07,0.5848769289367479,0.5041308900515766,0.5583973683823916,0.23992503457927997,0.39174765814921364,0.3484665988392423
2.086,1.88,0.03,0.5847899643945214,0.5031752373415757,0.5531497273522299,0.24230148808102825,0.3858180380002004,0.35534807067881885
2.128,1.93,-0.03,0.5846626237719059,0.5022318426710173,0.5479501302391288,0.24463248743477461,0.37992682431725605,0.3621171608590135
2.212,1.99,0.04,0.5844942243225173,0.5013015527142092,0.5428003879060327,0.24691802247577396,0.37407683450128415,0.3687722541465432
2.274,2.04,0.08,0.5842840953018942,0.5003852118705012,0.5377022765629421,0.24915812209755103,0.36827087608644704,0.37531183831283615
2.295,2.1,0.05,0.5840315783281871,0.49948366175892145,0.5326575363241762,0.25135285370513605,0.3625117445311777,0.3817345047295935
2.355,2.15,0.01,0.5837360277323314,0.49859774073260155,0.5276678697765974,0.2535023226323916,0.35680222098026315,0.38803894883506507
2.417,2.21,0.13,0.5833968108975015,0.49772828341221975,0.5227349405598274,0.2556066715240986,0.3511450699984719,0.39422397047236385
2.458,2.26,0.08,0.5830133085874823,0.49687612023753985,0.5178603719595626,0.25766607968334915,0.345543037276431,0.40028847410119245
2.52,2.32,-0.0,0.5825849152633968,0.49604207703597875,0.5130457455151751,0.259680762384625,0.33999884730967667,0.4062314688844205
2.583,2.37,0.16,0.5821110393880957,0.4952269746069872,0.5082925996428512,0.2616509701527849,0.3345152010520247,0.4120520686510332
2.643,2.43,0.15,0.5815911037175032,0.49443162832082826,0.5036024282756381,0.26357698800800294,0.32909477354465033,0.41774949173707604
2.685,2.48,0.09,0.5810245455783501,0.49365684773013785,0.4989766795219242,0.26545913467652965,0.3237402115225003,0.4233230607063871
2.725,2.54,0.13,0.5804108171319879,0.4929034361925439,0.4944167543440454,0.26729776176712217,0.31845413099996517,0.42877220195305527
2.786,2.59,0.19,0.5797493856243257,0.492172190502491,0.4899240052589053,0.26909325291306435,0.313239114838151,0.4340964451875723
2.848,2.65,0.14,0.5790397336223411,0.49146390053017824,0.48549973506276123,0.2708460228797109,0.30809771029649446,0.43929542280864825
2.908,2.7,0.08,0.5782813592379847,0.4907793488653639,0.48114519558254587,0.2725565166375723,0.30303242657179996,0.4443688691627179
3.011,2.76,0.2,0.5774737763405793,0.49011931046387897,0.47686158645622523,0.27422520840122516,0.2980457323280897,0.4493166196932558
3.032,2.81,0.14,0.5766165147589893,0.48948455229494003,0.47265005394475207,0.2758526006346644,0.29314005322092945,0.4541386099821094
3.072,2.87,0.03,0.5757091204749044,0.48887583298763904,0.46851168977818963,0.27743922302400587,0.2883177694200874,0.45883487468517403
3.153,2.92,0.13,0.5747511558085265,0.4882939024752924,0.46444753003853606,0.2789856314187089,0.2835812131345387,0.4634055463648296
3.194,2.98,0.14,0.5737421995978201,0.48773950163659685,0.46045855408172626,0.2804924067426734,0.2789326661439459,0.46785085422163136
