No,date,Label,baseline_HBO,baseline_HHB,baseline_TSI,Stage1_HBO,Stage1_HHB,Stage1_TSI,Stage2_HBO,Stage2_HHB,Stage2_TSI,Stage3_HBO,Stage3_HHB,Stage3_TSI,Stage4_HBO,Stage4_HHB,Stage4_TSI,Stage5_HBO,Stage5_HHB,Stage5_TSI,Stage1_activation_HBO,Stage1_activation_HHB,Stage2_activation_HBO,Stage2_activation_HHB,Stage3_activation_HBO,Stage3_activation_HHB,Stage4_activation_HBO,Stage4_activation_HHB,Stage5_activation_HBO,Stage5_activation_HHB,Stage1_different_HBO,Stage1_different_HHB,Stage2_different_HBO,Stage2_different_HHB,Stage3_different_HBO,Stage3_different_HHB,Stage4_different_HBO,Stage4_different_HHB,Stage5_different_HBO,Stage5_different_HHB,baseline_s_HBO,Stage1_s_HBO,Stage2_s_HBO,Stage3_s_HBO,Stage4_s_HBO,Stage5_s_HBO,baseline_s_HHB,Stage1_s_HHB,Stage2_s_HHB,Stage3_s_HHB,Stage4_s_HHB,Stage5_s_HHB,baseline_HBT,Stage1_HBT,Stage2_HBT,Stage3_HBT,Stage4_HBT,Stage5_HBT,baseline_s_HBT,Stage1_s_HBT,Stage2_s_HBT,Stage3_s_HBT,Stage4_s_HBT,Stage5_s_HBT
38,20191225,1,0.689823951,0.637171007,0.159437012,0.5999202,0.723702104,0.147303899,0.309466531,0.782731608,0.171616475,0.116782485,0.703017272,0.379872388,0.084661315,0.596706987,0.729022735,0.176164752,0.255025283,0.561485923,0.484643492,0.570218117,0.08412626,0.590895812,0.014283132,0.581940895,0.08798591,0.514303983,0.161652811,0.22485131,0.484643492,0.570218117,0.222486593,0.749449739,0.213407467,0.40269601,0.410573766,0.64940663,0.530443895,0.04420955,0.332267874,0.580170439,0.43334251,0.365145059,0.476373137,0.179655801,0.540896492,0.406376702,0.764767727,0.238705518,0.669850509,0.218791344,0.235118545,0.383656592,0.202126961,0.419421145,0.746303038,0.754738205,0.552368668,0.90046922,0.652834502,0.496904731,0.70443562,0.547098824
39,20200101,1,0.057408632,0.011184562,0.509206862,0.668281889,0.572249894,0.566233194,0.428266762,0,0.909591297,0.400652442,0.445492594,0.393608461,0.411663588,0.598415596,0,0.473495218,0.417996277,0.014598677,1,0.969520988,0.819692034,0.439905367,0.65040444,0.789358955,0.647225271,0.849134138,0.696779029,0.715834006,1,0.969520988,0.26181371,0,0.449895454,1,0.482164209,0.960737022,0.510702506,0.225090681,0.338630068,0.685377428,0,1,0.429299564,0.590399689,0.703435155,0,0.534754118,1,0.692266553,0.516473239,0.056434694,0.603879196,0.265933987,0.402248504,0.501424099,0.484207517,0.426465261,0.516526931,0,1,0.54806797,0.442116531
41,20200103,1,0.534995194,0.353480893,0.39462875,0.071712021,0.511966894,0.360614447,0.06890494,0.351696614,0.454284158,0.459768647,0.155074023,0.691967225,0.693413423,0.005226878,0.91138986,0.872393025,0.526606443,0.655124083,0.150748553,0.614407543,0,0.464473536,0.367382975,0.432787973,0.556474003,0.327482261,0.687455102,0.58951004,0.150748553,0.614407543,0.599748041,0.49405055,1,0.313798717,0.757365285,0.546850418,0.635746889,0.93846325,0.226930571,0.30921304,1,0.439390745,0.87029412,0.082971093,0.479687413,0.393066908,0.596244943,0.326276103,0.706611329,0.696425012,0.486856611,0.068436041,0.049134899,0.35649765,0.578338562,0.883670615,0.15163181,0.238349675,1,0.437144785,0.919745076,0.026329911
41,20200106,1,0.47516482,0.329118467,0.894265957,0.752763353,0.663568091,0.401324133,0.816561845,0.825485874,0,0.80051136,0.904858614,0,0.866554169,0.97537428,0.262743341,1,1,0.280301221,0.769016629,0.780478041,0.791155342,0.841826742,0.654081141,0.86927777,0.698565813,0.895061376,0.801075812,0.944397022,0.769016629,0.780478041,0.553236454,0.874237318,0.494896931,0.563250593,0.576032281,0.893868071,0.59560894,0.501135004,0.589823411,0.652557781,0.605266973,0.379135526,0.596629442,0.662574426,0.934929649,0.496713621,0.689945877,0.472996968,0.786141447,0.538405267,0.434226573,0.687946858,0.803447755,0.825801039,0.935031945,1,0.833733,0.740911414,0.562723737,0.419292479,0.680215686,0.505803617
42,20200108,1,0.296323707,0.820796865,0.262960677,0.585379373,0.575328454,0.309969377,0.787603582,0.365038166,0.268227647,0.794043184,0.287028198,0.363010436,0.835846315,0.296403551,0.532233149,0.850506351,0.190729166,0.900215559,0.757121064,0.268813454,0.937874109,0.143242647,0.771371313,0.24394736,0.7794597,0.244703096,0.804491975,0.068971682,0.757121064,0.268813454,0.720322688,0.432322019,0.523739184,0.434854733,0.546067086,0.762741136,0.47645265,0.271720057,0.542179657,0.841370541,0.430013673,0.292301373,0.729645888,0.752981248,0.521131623,0.215785109,0.746723559,0.238414717,0.56814001,0.282340238,0.49770504,0.640145453,0.760054746,0.77386167,0.86825521,0.801547727,0.753135201,0.876310871,0.376435394,0.262691475,0.747023152,0.503127124
45,20200210,1,0.556679155,0.77993204,0.667352138,1,0.874871564,0.851451604,0.554587291,0.42100461,0.856395134,0.193821635,0.160359841,0.808784392,0.330482762,0.285178291,0.739071179,0.886327008,0.480904954,0.829512572,0.918756989,0.590625692,0.454658054,0.21475388,0.160674658,0.195544872,0.316716565,0.260080342,0.684386508,0.301991891,0.918756989,0.590625692,0,0.132009816,0,0.242888337,0.621369808,0.900365187,1,0.60801696,0.519082237,0.930656687,0.149299657,0,0.58062007,0.955497451,0.517989179,0.493069098,0.113413831,0.165503935,0.73066337,0.324637323,0.650431932,0.928528724,0.500087663,0.185396271,0.354349576,0.76542651,0.57394875,0.992539758,0.02751114,0.079152323,0.654983055,0.605938513
45,20200212,1,0.269800514,0.304187809,0.753400318,0.650865875,0.638427447,0.433283231,0.710582927,0.706623578,0.319345912,0.645567381,0.766609181,0.12489413,0.691773569,0.855023348,0.162041631,0.828617973,0.882435057,0,0.831600845,0.778116966,0.888374063,0.769170014,0.682310492,0.80536944,0.703956783,0.839558717,0.805177451,0.874763344,0.831600845,0.778116966,0.566112034,0.763054379,0.419453283,0.551957727,0.541471512,0.905119939,0.593757376,0.489467472,0.538439992,0.789601008,0.614731213,0.478536047,0.75280611,0.601563821,0.874829601,0.470480327,0.760904497,0.47357186,0.927092057,0.456153616,0.304861418,0.611255365,0.686148676,0.670682889,0.774554624,0.852177394,0.742733715,0.839846803,0.589774799,0.475265783,0.824450711,0.420161371
45,20200214,1,0.332410718,0.270675958,0.658320732,0.55023054,0.697352547,0.479277957,0.683468924,0.870094683,0.437994214,0.755818132,0.937570177,0.634556958,0.801100973,0.958549829,0.730328607,0.953196867,0.983483713,0.842203244,0.701332837,0.86356191,0.800508826,0.917170428,0.719177134,0.920643349,0.737459915,0.916612433,0.849729479,0.967422743,0.701332837,0.86356191,0.656810896,0.886117378,0.606822509,0.54776363,0.547742275,0.832974156,0.612212553,0.499412853,0.529831004,0.686383354,0.701811863,0.38673107,0.593266052,0.667333156,0.96322644,0.519622963,0.787199879,0.434486937,0.723308052,0.489865956,0.330994681,0.551015382,0.712655792,0.786395051,0.875105911,0.959393941,0.759977218,0.764592855,0.66461423,0.412710768,0.664997932,0.483954883
45,20200219,1,0.477052372,0.158750465,0.930947313,0.660286188,0.608888254,0.827146059,0.820928406,0.874652607,0.765618585,0.83749136,0.966492894,0.731081124,0.858686441,1,0.695301768,0.825492668,0.935828752,0.643116492,0.689577591,0.876286594,0.793585849,1,0.679480656,1,0.692574474,1,0.68953342,1,0.689577591,0.876286594,0.666027754,1,0.540191038,0.57249804,0.523874736,0.851536743,0.429504101,0.404676877,0.543781185,0.645220678,0.694279749,0.328196979,0.559390474,0.525126739,0.963073089,0.525318876,0.80779067,0.38887878,0.744605228,0.391651958,0.3774468,0.606294141,0.815940276,0.863285311,0.938086893,0.874076995,0.797095626,0.73879829,0.667626627,0.359054939,0.647867288,0.336645435
12,20190219,0,0.672985815,0.582188056,0.678318259,0.852900828,0.680510572,0.324302084,0.866117835,0.906494735,0.146990648,0.954055298,0.712188778,0.451676285,0.898735315,0.577417574,0.717398171,0.495177747,0.346465534,0.212430358,0.710405204,0.576723493,0.646036797,0.723943323,0.629985492,0.618084609,0.607967019,0.532600877,0.372903237,0.323424697,0.710405204,0.576723493,0.485687755,0.950247479,0.64198373,0.275796446,0.43847527,0.613601778,0.062051945,0.16589582,1,0.546444415,0.316546913,0.492092501,0.211789084,0.607167437,0.383457627,0.607603054,0.657747063,0.283586634,0.525582799,0.341726165,0.706677149,0.817698091,0.948464054,0.905822338,0.845080968,0.489786012,1,0.749701954,0.343627476,0.383980707,0.344696617,0.348024517
