No,date,Label,baseline_HBO,baseline_HHB,baseline_TSI,Stage1_HBO,Stage1_HHB,Stage1_TSI,Stage2_HBO,Stage2_HHB,Stage2_TSI,Stage3_HBO,Stage3_HHB,Stage3_TSI,Stage4_HBO,Stage4_HHB,Stage4_TSI,Stage5_HBO,Stage5_HHB,Stage5_TSI,Stage1_activation_HBO,Stage1_activation_HHB,Stage2_activation_HBO,Stage2_activation_HHB,Stage3_activation_HBO,Stage3_activation_HHB,Stage4_activation_HBO,Stage4_activation_HHB,Stage5_activation_HBO,Stage5_activation_HHB,Stage1_different_HBO,Stage1_different_HHB,Stage2_different_HBO,Stage2_different_HHB,Stage3_different_HBO,Stage3_different_HHB,Stage4_different_HBO,Stage4_different_HHB,Stage5_different_HBO,Stage5_different_HHB,baseline_s_HBO,Stage1_s_HBO,Stage2_s_HBO,Stage3_s_HBO,Stage4_s_HBO,Stage5_s_HBO,baseline_s_HHB,Stage1_s_HHB,Stage2_s_HHB,Stage3_s_HHB,Stage4_s_HHB,Stage5_s_HHB,baseline_HBT,Stage1_HBT,Stage2_HBT,Stage3_HBT,Stage4_HBT,Stage5_HBT,baseline_s_HBT,Stage1_s_HBT,Stage2_s_HBT,Stage3_s_HBT,Stage4_s_HBT,Stage5_s_HBT
24,20190612,1,0.647272791,0.684149668,0.289863344,0.290828248,0.792139815,0.439036089,0.310521864,0.465656168,0.722549627,0.436389484,0.256948944,0.820301683,0.442338273,0.047460961,0.966073328,0.588654846,0.351339475,0.919642495,0.297919059,0.543505441,0.345813521,0.2425947,0.406359414,0.2169439,0.337484806,0.0312298,0.489052759,0.323989346,0.297919059,0.543505441,0.511190701,0.235443688,0.474848917,0.334640801,0.678941449,0.145204078,0.668732318,0.728282608,0.501063689,0.719301013,0.347384392,0.355677688,0.576992835,0.690921815,0.565484229,0.250598534,0.307807853,0.216582766,0.526741928,0.802663452,0.538144527,1,1,1,0.807418309,0.465754862,0.745448544,0.68356925,0.188603748,0.701284612,0.274829467,0.053564094
24,20190614,1,0.272624476,0.153566285,0.364309309,0.41388273,0.489028018,0.66504892,0.611082601,0.432469054,0.93703566,0.798645193,0.18177636,0.909139731,0.811687197,0.280795551,0.847386764,0.574767936,0.734233653,0.547952806,0.67037153,0.742784432,0.778653265,0.634731745,0.859369554,0.50926233,0.802395305,0.488201442,0.689104205,0.844756318,0.67037153,0.742784432,0.799380881,0.545889465,0.57154593,0.285772133,0.694569606,0.398686504,0.337787386,0.88442906,0.634321838,0.734019924,0.630493898,0.678977407,0.570016642,0.206988281,0.617025812,0.462489583,0.400777413,0.23148148,0.679585597,0.875451497,0.858559955,0.67707397,0.437736982,0.321611346,0.146925874,0.566488379,0.539240698,0.59007094,0.224178411,0.028744115,0.602769927,0.884461573
24,20190624,1,0.134790494,0.158355561,0.201814234,0.519514827,0.520695665,0.384732859,0.82019646,0.580120181,0.504528783,0.766137116,0.632459445,0.4149289,0.862185488,0.539992528,0.620887816,0.725696298,0.696502683,0.533702358,0.845015913,0.771436089,1,0.769969435,0.927184376,0.840592844,0.920609185,0.657447698,0.860034818,0.818035698,0.845015913,0.771436089,0.976463328,0.697265351,0.118678463,0.643288084,0.755000201,0.251080598,0.442473978,0.616340968,0.610926889,0.884114781,0.354910252,0.520306042,0.548811848,0.398096961,0.559440805,0.375008301,0.521087392,0.632024344,0.667706168,0.568266546,0.151446857,0.33252201,0.592048691,0.752289877,0.826683556,0.732968467,0.661129506,0.701256729,0.775497613,0.672621021,0.6700344,0.252652665
24,20190702,1,0,0.427443868,0.310656155,0.064537138,0.959952447,0.32854044,0.258207364,0.865165594,0.491969868,0.372785465,0.760890337,0.5005042,0.538008217,0.626140835,0.668599009,0.829700324,0.501421498,0.891129474,0.667868338,0.970892002,0.73337291,0.823702147,0.777919362,0.759362692,0.805093401,0.561365162,1,0.553351306,0.667868338,0.970892002,0.700773612,0.54945372,0.457010756,0.439620047,0.794861479,0.219183451,0.823021642,0.353181231,0.600862927,0.738916233,0.474083654,0.605379847,0.761053158,0.723205184,0.763401152,0.343321413,0.393808742,0.273881017,0.562436421,0.354250597,0.060378798,0.463321725,0.792615054,0.792349961,0.856125497,0.801736331,0.620110224,0.769799567,0.492092226,0.60292121,0.665281668,0.388349927
24,20190704,1,0.144099942,0.451309724,0.353328329,0.516894986,0.785215747,0.552163549,0.757144771,0.586616189,0.674904195,0.898136322,0.549863299,0.640517614,1,0.432808688,0.861413194,0.929781232,0.444335646,0.938822485,0.836033927,0.763668767,0.954212629,0.542316932,1,0.587091789,1,0.41950076,0.98215037,0.504316815,0.836033927,0.763668767,0.888864223,0.397705028,0.478600675,0.535567985,0.763083083,0.228745531,0.524294466,0.471877583,0.664695925,0.842989062,0.650036955,0.575378308,0.599915375,0.373004428,0.744085409,0.384800291,0.547725749,0.352925655,0.579422954,0.443316676,0.076498872,0.292837691,0.4503244,0.542935675,0.664281352,0.8751677,0.669547319,0.626090889,0.559576936,0.5410445,0.767282033,0.681210094
29,20190719,1,0.101947431,0,0.360116392,0.212596724,0.528921022,0.610715902,0.58679243,0.261590457,0.886289293,0.838727766,0.187169159,0.903157913,0.928783908,0.277228039,0.99417014,0.858625713,0.852087659,0.948370906,0.679662599,0.934783682,0.874232474,0.59633872,0.991244346,0.614017015,0.982536603,0.573287577,0.961248628,1,0.679662599,0.934783682,1,0.281622104,0.69051748,0.507162441,0.752651341,0.391401608,0.515670124,1,0.555999236,0.818475017,0.756973986,0.507846415,0.814995899,0.330357709,0.588807167,0.525826833,0.268286888,0.570622561,0.71864232,0.850917192,0.695681348,0.336032521,0.227049597,0.184088047,0.052999968,0.157728524,0.499176123,0.359751982,0.402482142,0.241248838,0.541434734,0.328301053
31,20190827,1,0.434476775,0.379239879,0.077599018,0.699627687,0.896600463,0.211774812,0.756628439,0.37633036,0.493455769,0.801385591,0.075678463,0.625757281,0.998865041,0.002313448,0.863605616,0.93564962,0.081834727,0.986335327,0.720684463,0.951302576,0.765230243,0.401777514,0.758610929,0.282461273,0.816074914,0.174915469,0.82404421,0.308750093,0.720684463,0.951302576,0.67428599,0,0.302713844,0.228493043,0.830993589,0.253482779,0.531026857,0.511733841,0.665066998,0.65588654,0.435114877,0.729278425,0.761206354,0.30493933,0.598111885,0.425248066,0.1948431,0.427979357,0.558456633,0.529839741,0.306710628,0.631188262,0.71617868,0.814225684,0.996254366,0.921412983,0.712145773,0.580595026,0.51796733,0.612375566,0.812271659,0.220890825
34,20191125,1,0.258175768,0.758298467,0.460125692,0,0.920854545,0.182191614,0.297142898,0.403369397,0.760489768,0.640291411,0.454749088,0.278699469,0.959693743,0.064034859,0.766237215,0.7963706,0.136607716,0.788214458,0.423833381,0.606544603,0.59017645,0.124763356,0.774091158,0.315092631,0.903082861,0,0.835382251,0.147634517,0.423833381,0.606544603,0.83228283,0.006243864,0.872749591,0.651373616,0.91650715,0,0.428037675,0.508689509,0.515171617,0.620817388,0.643159266,0.764336383,0.832940031,0.229935211,0.603545168,0.063725031,0.522064343,0.178279192,0.345636717,0.552776912,0.447138943,0.832867897,0.769048048,0.757813486,0.9682852,0.922646449,0.685145262,0.612773775,0.449373816,0.84936775,0.782089489,0.249839376
35,20191203,1,0.298683653,0.276789291,0.143074101,0.201621909,0.6911019,0,0.425838722,0.746902863,0.148140632,0.456501585,0.825236589,0.249738521,0.748757803,0.698051622,0.672957838,0.345570781,0.747042265,0.550669532,0.517511967,0.835095451,0.644970617,0.832539835,0.638879236,0.905959125,0.747018407,0.694871955,0.531620852,0.789171239,0.517511967,0.835095451,0.781400239,0.711570317,0.294647138,0.665897663,0.891170822,0.226992338,0.166993532,0.522989623,0.609732955,0.538637505,0.735152048,0.270303552,0.828109358,0.422863517,0.683283303,0.500157616,0.434649312,0.482600168,0.353824688,0.897530425,0.285266697,0.357087744,0.501841656,0.547991162,0.554853414,0.673191036,0.630003402,0.583901751,0.792211104,0.08690165,0.879554957,0
35,20191205,1,0.247356654,0.873906608,0.611099736,0.145441967,0.797750953,0.626930801,0.317182921,0.771765223,0.553355098,0.571562084,0.804267618,0.490445521,0.62400125,0.48662707,0.846060952,0.066104491,0,0.876544424,0.523018309,0.364046112,0.60983605,0.379469936,0.739955515,0.498637742,0.702218832,0.214547493,0.385892427,0,0.523018309,0.364046112,0.690901527,0.619150158,0.709408942,0.609358342,0.717184357,0.068883924,0,0,0.587549987,0.451644084,0.532927521,0.717346624,0,0.555753358,0.597317787,0.150407894,0.458630137,0.269923507,0,0.558934267,0.31359685,0.607876704,0.769929269,0.797427456,0.851672012,0.688911342,0.695891628,0.690536049,0.543061861,0.271382679,0.578452902,0.694087123
