,Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
0,1.126,0.04,0.0,0.47137945216587074,0.8258721664933615,0.0,0.4847579651007038,0.8210176074530277,0.0
1,1.147,0.1,0.0,0.4766937327682072,0.8244717351224716,0.005352652426028579,0.4802582463109612,0.8169844330632849,0.004572652748257849
2,1.167,0.15,0.0,0.4820042848042792,0.8230821673344259,0.010693565389101068,0.4757933965790966,0.8129829338132478,0.009109381779442156
3,1.188,0.21,0.0,0.4873091712402824,0.8217041159531987,0.016020696101445745,0.4713650316475318,0.8090146092504716,0.01360848743307343
4,1.209,0.26,0.0,0.4926064657879,0.8203382277162256,0.021332016587903603,0.4669747331875219,0.8050809279238653,0.01806830522952039
5,1.23,1.06,0.0,0.4978942546963155,0.8189851427979211,0.02662551552681973,0.46262404761117404,0.8011833261759886,0.022487207239501594
6,1.25,1.11,0.0,0.5031706385161264,0.8176454943443223,0.031899200059846346,0.4583144849435454,0.7973232069876863,0.026863603394179713
7,1.311,1.17,0.0,0.5084337338322048,0.8163199080191337,0.037151097568018314,0.4540475177551708,0.7935019388758845,0.031195942734910765
8,1.394,1.22,0.0,0.5136816749626111,0.8150090015614005,0.04237925741152992,0.449824580155185,0.7897208548452245,0.035482714601878754
9,1.414,1.28,0.0,0.5189126156207299,0.8137133843549975,0.04758175263070536,0.4456470668450206,0.7859812513940639,0.03972244976100887
10,1.538,1.33,0.06,0.5241247305378458,0.8124336570100729,0.05275668160571126,0.4415163322324956,0.7822843875752405,0.04391372146871013
11,1.558,1.39,0.07,0.5293162170434261,0.8111704109565514,0.057902169672597995,0.43743368960596873,0.7786314841118683,0.0480551464741365
12,1.579,1.45,0.01,0.5344852966004604,0.8099242280497652,0.06301637069328019,0.4334004103682055,0.7750237225683557,0.05214538595874653
13,1.619,1.5,0.03,0.5396302162934135,0.8086956801882259,0.06809746857712586,0.4294177233296208,0.7714622445768139,0.05618314641297237
14,1.682,1.55,0.05,0.5447492502667336,0.8074853289434725,0.07314367875199253,0.425486814060559,0.7679481511190014,0.060167180449827475
15,1.723,1.61,-0.0,0.5498407011122816,0.8062937252018408,0.07815324958281412,0.42160882430218594,0.764482501863892,0.06409628755535512
16,1.786,1.66,-0.0,0.5549029012043463,0.8051214088179749,0.08312446373612095,0.41778485143549626,0.7610663145608295,0.06796931477596155
17,1.929,1.72,0.05,0.5599342139810782,0.8039689082799267,0.08805563948913606,0.4140159480079342,0.7577005644880783,0.07178515734284688
18,1.95,1.77,0.06,0.56493303517126,0.8028367403857404,0.0929451319823209,0.4103031213171489,0.754386183956439,0.07554275923391571
19,1.971,1.83,0.04,0.5698977939652986,0.8017254099314954,0.0977913344143879,0.40664733305146666,0.7511240618674628,0.07924111367369041
20,2.013,1.88,0.1,0.574826954129206,0.8006354094108491,0.1025926791788462,0.40304949898672326,0.7479150433257462,0.08287926357182329
21,2.055,1.94,0.1,0.5797190150603208,0.7995672187261258,0.10734763894117992,0.3995104887390664,0.7447599293047801,0.08645630190080107
22,2.118,2.0,0.05,0.5845725127836573,0.7985213049109334,0.11205472765581406,0.3960311255731783,0.7416594763658678,0.08997137201339876
23,2.186,2.05,0.06,0.5893860208880408,0.7974981218641772,0.11671250152210634,0.3926121862651693,0.738614396429653,0.09342366790040443
24,2.27,2.1,0.08,0.5941581514015497,0.7964981100952171,0.12131955987876354,0.3892544010191845,0.735625356599803,0.096812434389132
25,2.291,2.16,0.02,0.5988875556062154,0.795521696479812,0.12587454603632414,0.3859584534365805,0.7326929790383457,0.10013696728329566
26,2.332,2.21,0.02,0.6035729247922307,0.7945692940264525,0.13037614804759462,0.38272498053644133,0.7298178408920479,0.10339661344493668
27,2.395,2.27,0.07,0.6082129909520761,0.793641301652715,0.1348230994161413,0.3795545728262479,0.7270004742691032,0.10659077081923901
28,2.458,2.33,0.07,0.6128065274150098,0.7927381039713363,0.139214179743118,0.3764477744215949,0.7242413662652548,0.10971888840322501
29,2.521,2.38,0.05,0.6173523494222629,0.791860071085816,0.14354821531282136,0.3734050832139651,0.7215409590383671,0.1127804661594565
30,2.563,2.43,0.11,0.6218493146431147,0.791007558395442,0.1478240796174072,0.3704269510856662,0.7188996499303951,0.11577505487593513
31,2.626,2.49,0.12,0.6262963236319624,0.790180906409669,0.1520406938212492,0.3675137841710112,0.7163177916357095,0.11870225597338628
32,2.709,2.54,0.06,0.6306923202266175,0.7893804405717122,0.1561970271654805,0.3646659431626724,0.7137956924147814,0.12156172126106207
33,2.731,2.6,0.08,0.6350362918882807,0.7886064710911246,0.16029209731331528,0.3618837436619349,0.7113336163522811,0.12435315264213498
34,2.771,2.65,0.09,0.639327269983949,0.7878592927850042,0.1643249706368272,0.35916745657137233,0.7089317836586968,0.12707630176970183
35,2.834,2.71,0.03,0.6435643300123245,0.7871391849274016,0.16829476244598476,0.3565173085282751,0.7065903710145797,0.12973096965441508
36,2.896,2.77,0.02,0.6477465917744787,0.7864464111064609,0.17220063716084982,0.3539334823770744,0.704309511956468,0.13231700622482007
37,2.98,2.82,0.07,0.651873219490545,0.7857812190888788,0.176041808427939,0.35141611767903513,0.7020892973034518,0.13483430984158057
38,3.001,2.87,0.06,0.6559434218635843,0.7851438406913512,0.17981753918184307,0.3489653112575886,0.6999297756232229,0.13728282676690945
39,3.043,2.93,0.04,0.6599564520914997,0.784534491658812,0.18352714165325618,0.3465811177778187,0.6978309537363327,0.13966255059065555
40,3.106,2.98,0.09,0.66391160782758,0.7839533715493822,0.18716997732457624,0.3442635503587683,0.6957927972573063,0.1419735216145851
41,3.169,3.04,0.1,0.667808231090141,0.783400663625999,0.19074545683424704,0.3420125812172839,0.6938152311712442,0.1442158261964093
42,3.233,3.1,0.04,0.6716457081218217,0.7828765347546373,0.19425303983105313,0.339828142342026,0.691898140444572,0.14638959605508234
43,3.273,3.15,0.05,0.675423469199307,0.7823811353089422,0.1976922347796401,0.33771012619611435,0.6900413706686315,0.1484950075388473
44,3.356,3.2,0.07,0.6791409883945337,0.7819145990809818,0.20106259871865947,0.33565838644668955,0.6882447287348465,0.15053228085747322
45,3.376,3.26,0.01,0.6827977832887225,0.7814770431977333,0.20436373697309507,0.33367273871950487,0.6865079835401804,0.15250167928013872
46,3.439,3.31,0.01,0.6863934146407042,0.7810685680429058,0.20759530282242322,0.3317529613766418,0.6848308667215321,0.1544035083004965
47,3.501,3.37,0.07,0.6899274860109936,0.7806892571837526,0.21075699712627066,0.3298987963155922,0.6832130734176383,0.156238114770552
48,3.565,3.42,0.07,0.6933996433429497,0.7803391773026191,0.21384856790919832,0.3281099497881592,0.6816542630569434,0.1580058860050952
49,3.626,3.48,0.05,0.6968095745021453,0.7800183781331028,0.21686980990615726,0.3263860932378612,0.680154060169844,0.15970724885850113
50,3.73,3.54,0.11,0.7001570087747978,0.7797268924008292,0.21982056407004505,0.32472686415471125,0.6787120552236982,0.16134266877571607
51,3.751,3.59,0.11,0.7034417163259897,0.7794647357689072,0.2227007170427113,0.323131866946292,0.6773278054790707,0.16291264881916845
